Date;Rate;OMX_Close;Index_Value
2021-02-23 00:00:00;0,00;2,016.83;46,40
2021-02-24 00:00:00;0,00;2,037.25;45,60
2021-02-25 00:00:00;0,00;2,038.93;45,60
2021-02-26 00:00:00;0,00;2,009.90;44,50
2021-03-01 00:00:00;0,00;2,054.67;45,00
2021-03-02 00:00:00;0,00;2,067.10;46,40
2021-03-03 00:00:00;0,00;2,073.78;46,20
2021-03-04 00:00:00;0,00;2,065.15;47,80
2021-03-05 00:00:00;0,00;2,048.57;48,10
2021-03-08 00:00:00;0,00;2,103.10;49,10
2021-03-09 00:00:00;0,00;2,124.85;48,40
2021-03-10 00:00:00;0,00;2,134.46;47,70
2021-03-11 00:00:00;0,00;2,165.66;48,80
2021-03-12 00:00:00;0,00;2,168.96;49,40
2021-03-15 00:00:00;0,00;2,161.83;49,50
2021-03-16 00:00:00;0,00;2,180.14;53,00
2021-03-17 00:00:00;0,00;2,172.86;52,40
2021-03-18 00:00:00;0,00;2,179.99;53,40
2021-03-19 00:00:00;0,00;2,169.18;52,40
2021-03-22 00:00:00;0,00;2,174.63;53,00
2021-03-23 00:00:00;0,00;2,168.12;52,60
2021-03-24 00:00:00;0,00;2,184.60;52,60
2021-03-25 00:00:00;0,00;2,173.24;53,20
2021-03-26 00:00:00;0,00;2,198.80;53,80
2021-03-29 00:00:00;0,00;2,182.21;55,40
2021-03-30 00:00:00;0,00;2,205.41;57,60
2021-03-31 00:00:00;0,00;2,192.86;57,60
2021-04-01 00:00:00;0,00;2,202.61;58,60
2021-04-06 00:00:00;0,00;2,230.25;58,40
2021-04-07 00:00:00;0,00;2,229.56;58,20
2021-04-08 00:00:00;0,00;2,240.40;59,60
2021-04-09 00:00:00;0,00;2,250.40;60,20
2021-04-12 00:00:00;0,00;2,233.20;60,80
2021-04-13 00:00:00;0,00;2,247.21;59,60
2021-04-14 00:00:00;0,00;2,228.16;58,20
2021-04-15 00:00:00;0,00;2,242.98;59,20
2021-04-16 00:00:00;0,00;2,280.50;59,80
