Date;RATE_Styrränta;Novotek_Open;OMX_Close 
2020-12-30 00:00:00;0,00;43,60;1,874.74
2021-01-04 00:00:00;0,00;44,80;1,895.49
2021-01-05 00:00:00;0,00;44,90;1,892.35
2021-01-07 00:00:00;0,00;45,00;1,939.49
2021-01-08 00:00:00;0,00;45,00;1,949.37
2021-01-11 00:00:00;0,00;44,50;1,941.49
2021-01-12 00:00:00;0,00;44,40;1,958.62
2021-01-13 00:00:00;0,00;44,90;1,962.26
2021-01-14 00:00:00;0,00;45,00;1,972.22
2021-01-15 00:00:00;0,00;44,90;1,954.71
2021-01-18 00:00:00;0,00;48,50;1,962.43
2021-01-19 00:00:00;0,00;47,40;1,957.85
2021-01-20 00:00:00;0,00;47,90;1,978.37
2021-01-21 00:00:00;0,00;47,00;1,987.26
2021-01-22 00:00:00;0,00;47,40;1,986.24
2021-01-25 00:00:00;0,00;48,00;1,975.06
2021-01-26 00:00:00;0,00;47,30;1,991.66
2021-01-27 00:00:00;0,00;46,10;1,976.20
2021-01-28 00:00:00;0,00;45,50;1,971.40
2021-01-29 00:00:00;0,00;44,30;1,948.79
2021-02-01 00:00:00;0,00;44,20;1,977.81
2021-02-02 00:00:00;0,00;44,80;1,988.49
2021-02-03 00:00:00;0,00;44,10;1,997.65
2021-02-04 00:00:00;0,00;46,10;2,006.33
2021-02-05 00:00:00;0,00;46,90;1,989.34
2021-02-08 00:00:00;0,00;47,20;2,002.52
2021-02-09 00:00:00;0,00;47,80;1,999.19
2021-02-10 00:00:00;0,00;47,50;1,998.06
2021-02-11 00:00:00;0,00;47,60;2,010.07
2021-02-12 00:00:00;0,00;47,80;2,024.72
2021-02-15 00:00:00;0,00;47,00;2,024.72
2021-02-16 00:00:00;0,00;46,50;2,038.07
2021-02-17 00:00:00;0,00;46,50;2,017.26
2021-02-18 00:00:00;0,00;46,00;2,015.81
2021-02-19 00:00:00;0,00;46,60;2,036.97
2021-02-22 00:00:00;0,00;47,40;2,031.04
2021-02-23 00:00:00;0,00;47,00;2,016.83
2021-02-24 00:00:00;0,00;45,40;2,037.25
2021-02-25 00:00:00;0,00;45,20;2,038.93
2021-02-26 00:00:00;0,00;44,70;2,009.90
2021-03-01 00:00:00;0,00;45,50;2,054.67
2021-03-02 00:00:00;0,00;45,00;2,067.10
2021-03-03 00:00:00;0,00;47,50;2,073.78
2021-03-04 00:00:00;0,00;47,00;2,065.15
2021-03-05 00:00:00;0,00;48,00;2,048.57
2021-03-08 00:00:00;0,00;48,80;2,103.10
2021-03-09 00:00:00;0,00;49,10;2,124.85
2021-03-10 00:00:00;0,00;48,70;2,134.46
2021-03-11 00:00:00;0,00;47,70;2,165.66
2021-03-12 00:00:00;0,00;48,80;2,168.96
2021-03-15 00:00:00;0,00;49,40;2,161.83
2021-03-16 00:00:00;0,00;50,60;2,180.14
